# Frequency(THz) spec_cv(J/Kg.K.THz) cum_cv(J/Kg.K)
32.303483 0.239079 418.026701
32.307483 0.240736 418.032688
32.311483 0.242457 418.038718
32.315483 0.244516 418.044789
32.319483 0.246561 418.050908
32.323483 0.248682 418.057080
32.327483 0.250780 418.063303
32.331483 0.252926 418.069580
32.335483 0.255139 418.075910
32.339483 0.257503 418.082294
32.343483 0.259997 418.088736
32.347482 0.262513 418.095239
32.351482 0.264986 418.101803
32.355482 0.267451 418.108432
32.359482 0.269896 418.115123
32.363482 0.272272 418.121875
32.367482 0.274787 418.128688
32.371482 0.277386 418.135562
32.375482 0.279647 418.142501
32.379482 0.281751 418.149502
32.383482 0.284063 418.156557
32.387482 0.286589 418.163667
32.391482 0.288968 418.170837
32.395482 0.291612 418.178071
32.399482 0.294279 418.185366
32.403482 0.296866 418.192729
32.407481 0.299450 418.200158
32.411481 0.302174 418.207649
32.415481 0.305164 418.215209
32.419481 0.308119 418.222840
32.423481 0.311013 418.230547
32.427481 0.313814 418.238328
32.431481 0.316659 418.246180
32.435481 0.319828 418.254102
32.439481 0.323206 418.262100
32.443481 0.326528 418.270180
32.447481 0.329890 418.278345
32.451481 0.333497 418.286593
32.455481 0.336822 418.294929
32.459481 0.340153 418.303355
32.463481 0.343372 418.311862
32.467481 0.346624 418.320452
32.471480 0.349876 418.329122
32.475480 0.353005 418.337873
32.479480 0.355855 418.346705
32.483480 0.358831 418.355614
32.487480 0.361839 418.364595
32.491480 0.364899 418.373651
32.495480 0.367635 418.382784
32.499480 0.370332 418.391990
32.503480 0.373117 418.401264
32.507480 0.375766 418.410606
32.511480 0.378463 418.420017
32.515480 0.381749 418.429495
32.519480 0.385046 418.439046
32.523480 0.388337 418.448683
32.527480 0.391552 418.458402
32.531479 0.394890 418.468203
32.535479 0.398209 418.478083
32.539479 0.401233 418.488049
32.543479 0.404762 418.498096
32.547479 0.408029 418.508222
32.551479 0.410509 418.518436
32.555479 0.413266 418.528725
32.559479 0.416674 418.539076
32.563479 0.419741 418.549503
32.567479 0.422289 418.560015
32.571479 0.425019 418.570598
32.575479 0.427998 418.581245
32.579479 0.431494 418.591963
32.583479 0.435115 418.602763
32.587479 0.438482 418.613654
32.591479 0.441788 418.624632
32.595478 0.444949 418.635694
32.599478 0.448448 418.646834
32.603478 0.451650 418.658059
32.607478 0.454599 418.669371
32.611478 0.457863 418.680760
32.615478 0.461660 418.692225
32.619478 0.465329 418.703779
32.623478 0.468317 418.715428
32.627478 0.471287 418.727163
32.631478 0.474597 418.738971
32.635478 0.477709 418.750855
32.639478 0.480289 418.762823
32.643478 0.483771 418.774863
32.647478 0.487199 418.786976
32.651478 0.490813 418.799180
32.655478 0.493959 418.811469
32.659477 0.497028 418.823847
32.663477 0.500583 418.836297
32.667477 0.503785 418.848831
32.671477 0.506887 418.861453
32.675477 0.510221 418.874153
32.679477 0.513642 418.886934
32.683477 0.516897 418.899801
32.687477 0.519942 418.912751
32.691477 0.523282 418.925781
32.695477 0.526551 418.938890
32.699477 0.528799 418.952083
32.703477 0.530527 418.965347
32.707477 0.532479 418.978659
32.711477 0.534333 418.992017
32.715477 0.535582 419.005424
32.719476 0.536721 419.018870
32.723476 0.537926 419.032341
32.727476 0.538659 419.045845
32.731476 0.539828 419.059376
32.735476 0.540671 419.072928
32.739476 0.540919 419.086508
32.743476 0.541005 419.100101
32.747476 0.541612 419.113696
32.751476 0.542195 419.127300
32.755476 0.542410 419.140920
32.759476 0.542822 419.154551
32.763476 0.542920 419.168186
32.767476 0.542333 419.181831
32.771476 0.541928 419.195471
32.775476 0.541502 419.209096
32.779476 0.540812 419.222711
32.783475 0.539881 419.236312
32.787475 0.538978 419.249890
32.791475 0.537927 419.263447
32.795475 0.536509 419.276980
32.799475 0.534768 419.290483
32.803475 0.533980 419.303946
32.807475 0.533394 419.317374
32.811475 0.532747 419.330788
32.815475 0.532184 419.344186
32.819475 0.531996 419.357568
32.823475 0.532093 419.370940
32.827475 0.532029 419.384311
32.831475 0.531707 419.397683
32.835475 0.531150 419.411052
32.839475 0.530684 419.424408
32.843475 0.530641 419.437751
32.847474 0.530434 419.451087
32.851474 0.530339 419.464419
32.855474 0.530526 419.477749
32.859474 0.531007 419.491079
32.863474 0.531451 419.504418
32.867474 0.531394 419.517770
32.871474 0.531162 419.531127
32.875474 0.531716 419.544479
32.879474 0.532878 419.557834
32.883474 0.534404 419.571211
32.887474 0.535728 419.584623
32.891474 0.537554 419.598072
32.895474 0.539330 419.611558
32.899474 0.541048 419.625092
32.903474 0.542802 419.638668
32.907473 0.545287 419.652288
32.911473 0.547898 419.665957
32.915473 0.549910 419.679695
32.919473 0.552341 419.693492
32.923473 0.554656 419.707340
32.927473 0.557376 419.721251
32.931473 0.559814 419.735223
32.935473 0.562036 419.749263
32.939473 0.564715 419.763361
32.943473 0.567213 419.777519
32.947473 0.569783 419.791745
32.951473 0.572775 419.806033
32.955473 0.575725 419.820389
32.959473 0.578320 419.834822
32.963473 0.581225 419.849325
32.967473 0.584565 419.863896
32.971472 0.588437 419.878544
32.975472 0.592127 419.893280
32.979472 0.596135 419.908117
32.983472 0.599103 419.923049
32.987472 0.601823 419.938074
32.991472 0.605211 419.953165
32.995472 0.608730 419.968330
32.999472 0.612168 419.983585
33.003472 0.615398 419.998927
33.007472 0.618912 420.014354
33.011472 0.622391 420.029863
33.015472 0.626301 420.045462
33.019472 0.630876 420.061152
33.023472 0.635275 420.076948
33.027472 0.639006 420.092861
33.031471 0.642103 420.108876
33.035471 0.645184 420.124972
33.039471 0.647867 420.141148
33.043471 0.651526 420.157399
33.047471 0.656586 420.173726
33.051471 0.661680 420.190160
33.055471 0.666159 420.206726
33.059471 0.670463 420.223415
33.063471 0.674843 420.240211
33.067471 0.678998 420.257116
33.071471 0.682545 420.274130
33.075471 0.685566 420.291241
33.079471 0.688468 420.308435
33.083471 0.691401 420.325701
33.087471 0.693679 420.343041
33.091471 0.697075 420.360449
33.095470 0.700233 420.377923
33.099470 0.704193 420.395481
33.103470 0.707239 420.413128
33.107470 0.710321 420.430870
33.111470 0.713735 420.448684
33.115470 0.716517 420.466578
33.119470 0.719308 420.484552
33.123470 0.722140 420.502594
33.127470 0.724702 420.520707
33.131470 0.727115 420.538890
33.135470 0.729668 420.557135
33.139470 0.732161 420.575440
33.143470 0.734712 420.593810
33.147470 0.736382 420.612243
33.151470 0.737872 420.630731
33.155470 0.739469 420.649256
33.159469 0.740752 420.667821
33.163469 0.742404 420.686419
33.167469 0.744541 420.705056
33.171469 0.746528 420.723740
33.175469 0.748804 420.742478
33.179469 0.750505 420.761267
33.183469 0.752462 420.780109
33.187469 0.754994 420.798994
33.191469 0.757453 420.817936
33.195469 0.759641 420.836943
33.199469 0.760720 420.856008
33.203469 0.762460 420.875118
33.207469 0.764629 420.894257
33.211469 0.766267 420.913447
33.215469 0.767775 420.932686
33.219468 0.768862 420.951962
33.223468 0.769941 420.971268
33.227468 0.771607 420.990605
33.231468 0.772941 421.009975
33.235468 0.774569 421.029387
33.239468 0.775710 421.048833
33.243468 0.776382 421.068317
33.247468 0.776758 421.087822
33.251468 0.777330 421.107340
33.255468 0.778186 421.126869
33.259468 0.778210 421.146415
33.263468 0.778197 421.165975
33.267468 0.777683 421.185532
33.271468 0.776815 421.205085
33.275468 0.776532 421.224620
33.279468 0.775871 421.244138
33.283467 0.775798 421.263649
33.287467 0.775923 421.283142
33.291467 0.776950 421.302642
33.295467 0.777209 421.322154
33.299467 0.776123 421.341689
33.303467 0.774732 421.361212
33.307467 0.773373 421.380699
33.311467 0.771230 421.400153
33.315467 0.767780 421.419566
33.319467 0.764649 421.438909
33.323467 0.762156 421.458162
33.327467 0.759982 421.477347
33.331467 0.757767 421.496474
33.335467 0.755105 421.515547
33.339467 0.753371 421.534560
33.343467 0.750463 421.553514
33.347466 0.747335 421.572419
33.351466 0.743404 421.591237
33.355466 0.740294 421.609973
33.359466 0.736889 421.628616
33.363466 0.732953 421.647181
33.367466 0.729610 421.665653
33.371466 0.725514 421.684029
33.375466 0.721637 421.702316
33.379466 0.717433 421.720499
33.383466 0.712753 421.738583
33.387466 0.707527 421.756557
33.391466 0.702568 421.774406
33.395466 0.697449 421.792123
33.399466 0.692390 421.809717
33.403466 0.687163 421.827181
33.407465 0.681873 421.844518
33.411465 0.677216 421.861717
33.415465 0.671986 421.878795
33.419465 0.666542 421.895753
33.423465 0.660860 421.912574
33.427465 0.654831 421.929255
33.431465 0.648599 421.945789
33.435465 0.642357 421.962169
33.439465 0.635923 421.978391
33.443465 0.629272 421.994456
33.447465 0.622589 422.010355
33.451465 0.616424 422.026086
33.455465 0.609788 422.041655
33.459465 0.602527 422.057067
33.463465 0.595587 422.072303
33.467465 0.588432 422.087356
33.471464 0.581518 422.102235
33.475464 0.573858 422.116932
33.479464 0.565215 422.131452
33.483464 0.556317 422.145769
33.487464 0.547240 422.159863
33.491464 0.538903 422.173731
33.495464 0.530779 422.187378
33.499464 0.522662 422.200821
33.503464 0.514325 422.214059
33.507464 0.505915 422.227091
33.511464 0.498164 422.239912
33.515464 0.490316 422.252527
33.519464 0.482678 422.264948
33.523464 0.474638 422.277174
33.527464 0.465855 422.289205
33.531463 0.457699 422.301026
33.535463 0.449525 422.312628
33.539463 0.441483 422.324029
33.543463 0.432910 422.335226
33.547463 0.424355 422.346216
33.551463 0.415684 422.356989
33.555463 0.407326 422.367546
33.559463 0.398955 422.377887
33.563463 0.391024 422.388020
33.567463 0.383679 422.397946
33.571463 0.376307 422.407680
33.575463 0.368902 422.417230
33.579463 0.361431 422.426595
33.583463 0.354041 422.435773
33.587463 0.347009 422.444763
33.591463 0.340041 422.453572
33.595462 0.333518 422.462206
33.599462 0.327155 422.470667
33.603462 0.321231 422.478970
33.607462 0.314984 422.487117
33.611462 0.308874 422.495114
33.615462 0.302689 422.502953
33.619462 0.296295 422.510639
33.623462 0.290575 422.518167
33.627462 0.284623 422.525538
33.631462 0.279021 422.532767
33.635462 0.273876 422.539848
33.639462 0.268650 422.546795
33.643462 0.263183 422.553614
33.647462 0.257912 422.560297
33.651462 0.253133 422.566844
33.655462 0.248791 422.573265
33.659461 0.244519 422.579572
33.663461 0.239936 422.585769
33.667461 0.235622 422.591859
33.671461 0.231285 422.597834
33.675461 0.227026 422.603702
33.679461 0.223124 422.609461
33.683461 0.219433 422.615117
33.687461 0.215852 422.620678
33.691461 0.212404 422.626147
33.695461 0.208873 422.631529
33.699461 0.205179 422.636823
33.703461 0.201617 422.642027
33.707461 0.198065 422.647138
33.711461 0.194672 422.652160
33.715461 0.191598 422.657095
33.719460 0.188469 422.661948
33.723460 0.185421 422.666724
33.727460 0.182564 422.671422
33.731460 0.179814 422.676046
33.735460 0.177184 422.680600
33.739460 0.174648 422.685085
33.743460 0.172085 422.689507
33.747460 0.169572 422.693864
33.751460 0.167399 422.698157
33.755460 0.165004 422.702390
33.759460 0.162480 422.706568
33.763460 0.159820 422.710683
33.767460 0.157336 422.714734
33.771460 0.155041 422.718718
33.775460 0.152931 422.722643
33.779460 0.150712 422.726513
33.783459 0.148482 422.730329
33.787459 0.146337 422.734088
33.791459 0.144142 422.737792
33.795459 0.142181 422.741443
33.799459 0.140423 422.745040
33.803459 0.138639 422.748591
33.807459 0.136749 422.752098
33.811459 0.134870 422.755559
33.815459 0.133142 422.758973
33.819459 0.131597 422.762340
33.823459 0.130068 422.765666
33.827459 0.128509 422.768955
33.831459 0.127044 422.772204
33.835459 0.125690 422.775415
33.839459 0.124368 422.778591
33.843459 0.122991 422.781733
33.847458 0.121666 422.784842
33.851458 0.120377 422.787915
33.855458 0.119006 422.790957
33.859458 0.117686 422.793965
33.863458 0.116426 422.796940
33.867458 0.115261 422.799881
33.871458 0.114053 422.802793
33.875458 0.112801 422.805675
33.879458 0.111645 422.808525
33.883458 0.110461 422.811345
33.887458 0.109241 422.814137
33.891458 0.108035 422.816897
33.895458 0.107018 422.819628
33.899458 0.106061 422.822329
33.903458 0.105036 422.825007
33.907457 0.104051 422.827660
33.911457 0.103043 422.830287
33.915457 0.101935 422.832889
33.919457 0.100856 422.835465
33.923457 0.099853 422.838014
33.927457 0.098906 422.840536
33.931457 0.097916 422.843033
33.935457 0.097014 422.845507
33.939457 0.096170 422.847956
33.943457 0.095265 422.850383
33.947457 0.094401 422.852789
33.951457 0.093630 422.855173
33.955457 0.092900 422.857535
33.959457 0.092031 422.859879
33.963457 0.091120 422.862204
33.967457 0.090306 422.864505
33.971456 0.089510 422.866785
33.975456 0.088790 422.869044
33.979456 0.088055 422.871284
33.983456 0.087299 422.873506
33.987456 0.086557 422.875710
33.991456 0.085832 422.877895
33.995456 0.085073 422.880061
33.999456 0.084351 422.882209
34.003456 0.083708 422.884337
34.007456 0.083048 422.886449
34.011456 0.082443 422.888545
34.015456 0.081871 422.890624
34.019456 0.081259 422.892689
34.023456 0.080601 422.894739
34.027456 0.079951 422.896773
34.031455 0.079347 422.898791
34.035455 0.078828 422.900792
34.039455 0.078302 422.902779
34.043455 0.077854 422.904754
34.047455 0.077353 422.906716
34.051455 0.076853 422.908667
34.055455 0.076298 422.910605
34.059455 0.075706 422.912530
34.063455 0.075204 422.914440
34.067455 0.074725 422.916336
34.071455 0.074227 422.918220
34.075455 0.073728 422.920092
34.079455 0.073235 422.921951
34.083455 0.072733 422.923798
34.087455 0.072257 422.925632
34.091455 0.071764 422.927454
34.095454 0.071301 422.929264
34.099454 0.070816 422.931061
34.103454 0.070264 422.932847
34.107454 0.069785 422.934620
34.111454 0.069311 422.936380
34.115454 0.068770 422.938128
34.119454 0.068263 422.939863
34.123454 0.067769 422.941585
34.127454 0.067320 422.943294
34.131454 0.066911 422.944992
34.135454 0.066557 422.946679
34.139454 0.066263 422.948356
34.143454 0.065972 422.950025
34.147454 0.065609 422.951686
34.151454 0.065197 422.953340
34.155454 0.064803 422.954984
34.159453 0.064435 422.956617
34.163453 0.064040 422.958241
34.167453 0.063658 422.959856
34.171453 0.063316 422.961460
34.175453 0.062968 422.963056
34.179453 0.062607 422.964643
34.183453 0.062303 422.966221
34.187453 0.061978 422.967790
34.191453 0.061632 422.969352
34.195453 0.061323 422.970905
34.199453 0.060998 422.972450
34.203453 0.060709 422.973988
34.207453 0.060385 422.975517
34.211453 0.060054 422.977039
34.215453 0.059745 422.978552
34.219452 0.059415 422.980058
34.223452 0.059105 422.981555
34.227452 0.058826 422.983044
34.231452 0.058546 422.984526
34.235452 0.058219 422.986001
34.239452 0.057888 422.987468
34.243452 0.057591 422.988927
34.247452 0.057334 422.990378
34.251452 0.057060 422.991822
34.255452 0.056760 422.993260
34.259452 0.056472 422.994690
34.263452 0.056190 422.996113
34.267452 0.055922 422.997529
34.271452 0.055672 422.998938
34.275452 0.055429 423.000340
34.279452 0.055154 423.001736
34.283451 0.054884 423.003126
34.287451 0.054596 423.004508
34.291451 0.054321 423.005884
34.295451 0.054049 423.007253
34.299451 0.053772 423.008615
34.303451 0.053511 423.009970
34.307451 0.053271 423.011318
34.311451 0.053082 423.012660
34.315451 0.052875 423.013996
34.319451 0.052651 423.015327
34.323451 0.052404 423.016654
34.327451 0.052169 423.017974
34.331451 0.051940 423.019288
34.335451 0.051719 423.020596
34.339451 0.051489 423.021899
34.343451 0.051255 423.023196
34.347450 0.051000 423.024487
34.351450 0.050778 423.025771
34.355450 0.050593 423.027050
34.359450 0.050399 423.028324
34.363450 0.050185 423.029593
34.367450 0.049999 423.030857
34.371450 0.049820 423.032116
34.375450 0.049631 423.033370
34.379450 0.049430 423.034620
34.383450 0.049230 423.035865
34.387450 0.049061 423.037105
34.391450 0.048872 423.038340
34.395450 0.048673 423.039571
34.399450 0.048485 423.040797
34.403450 0.048306 423.042017
34.407449 0.048087 423.043234
34.411449 0.047884 423.044445
34.415449 0.047722 423.045651
34.419449 0.047592 423.046852
34.423449 0.047441 423.048050
34.427449 0.047287 423.049244
34.431449 0.047125 423.050435
34.435449 0.046980 423.051621
34.439449 0.046846 423.052804
34.443449 0.046699 423.053983
34.447449 0.046543 423.055158
34.451449 0.046426 423.056330
34.455449 0.046277 423.057498
34.459449 0.046134 423.058663
34.463449 0.045995 423.059824
34.467449 0.045883 423.060982
34.471448 0.045803 423.062137
34.475448 0.045719 423.063288
34.479448 0.045609 423.064439
34.483448 0.045477 423.065586
34.487448 0.045362 423.066731
34.491448 0.045260 423.067872
34.495448 0.045137 423.069011
34.499448 0.045014 423.070147
34.503448 0.044896 423.071280
34.507448 0.044785 423.072410
34.511448 0.044695 423.073537
34.515448 0.044593 423.074661
34.519448 0.044498 423.075783
34.523448 0.044400 423.076903
34.527448 0.044309 423.078020
34.531447 0.044237 423.079135
34.535447 0.044144 423.080247
34.539447 0.044055 423.081358
34.543447 0.043970 423.082466
34.547447 0.043883 423.083572
34.551447 0.043782 423.084676
34.555447 0.043701 423.085778
34.559447 0.043620 423.086877
34.563447 0.043533 423.087975
34.567447 0.043464 423.089070
34.571447 0.043400 423.090163
34.575447 0.043353 423.091255
34.579447 0.043298 423.092345
34.583447 0.043239 423.093434
34.587447 0.043162 423.094521
34.591447 0.043066 423.095607
34.595446 0.043000 423.096690
34.599446 0.042929 423.097772
34.603446 0.042837 423.098852
34.607446 0.042767 423.099929
34.611446 0.042714 423.101005
34.615446 0.042671 423.102079
34.619446 0.042615 423.103152
34.623446 0.042539 423.104224
34.627446 0.042480 423.105294
34.631446 0.042422 423.106362
34.635446 0.042370 423.107429
34.639446 0.042316 423.108495
34.643446 0.042249 423.109559
34.647446 0.042168 423.110622
34.651446 0.042101 423.111683
34.655446 0.042028 423.112741
34.659445 0.041981 423.113799
34.663445 0.041952 423.114854
34.667445 0.041914 423.115909
34.671445 0.041869 423.116963
34.675445 0.041831 423.118016
34.679445 0.041808 423.119067
34.683445 0.041805 423.120118
34.687445 0.041784 423.121169
34.691445 0.041736 423.122220
34.695445 0.041710 423.123269
34.699445 0.041677 423.124318
34.703445 0.041640 423.125365
34.707445 0.041612 423.126412
34.711445 0.041566 423.127459
34.715445 0.041546 423.128504
34.719444 0.041522 423.129548
34.723444 0.041501 423.130592
34.727444 0.041496 423.131635
34.731444 0.041476 423.132678
34.735444 0.041457 423.133721
34.739444 0.041422 423.134763
34.743444 0.041395 423.135805
34.747444 0.041377 423.136845
34.751444 0.041374 423.137885
34.755444 0.041397 423.138925
34.759444 0.041431 423.139965
34.763444 0.041430 423.141006
34.767444 0.041443 423.142047
34.771444 0.041433 423.143089
34.775444 0.041413 423.144130
34.779444 0.041410 423.145171
34.783443 0.041417 423.146212
34.787443 0.041425 423.147253
34.791443 0.041439 423.148294
34.795443 0.041459 423.149335
34.799443 0.041454 423.150377
34.803443 0.041468 423.151419
34.807443 0.041474 423.152461
34.811443 0.041453 423.153503
34.815443 0.041443 423.154545
34.819443 0.041447 423.155587
34.823443 0.041463 423.156628
34.827443 0.041459 423.157670
34.831443 0.041475 423.158712
34.835443 0.041521 423.159754
34.839443 0.041566 423.160797
34.843443 0.041604 423.161841
34.847442 0.041629 423.162887
34.851442 0.041685 423.163932
34.855442 0.041758 423.164979
34.859442 0.041771 423.166028
34.863442 0.041767 423.167077
34.867442 0.041779 423.168127
34.871442 0.041786 423.169177
34.875442 0.041796 423.170227
34.879442 0.041811 423.171277
34.883442 0.041865 423.172328
34.887442 0.041925 423.173380
34.891442 0.041960 423.174433
34.895442 0.041981 423.175487
34.899442 0.042013 423.176542
34.903442 0.042063 423.177597
34.907441 0.042130 423.178654
34.911441 0.042195 423.179711
34.915441 0.042217 423.180771
34.919441 0.042248 423.181832
34.923441 0.042297 423.182893
34.927441 0.042356 423.183955
34.931441 0.042425 423.185019
34.935441 0.042483 423.186085
34.939441 0.042527 423.187152
34.943441 0.042584 423.188220
34.947441 0.042643 423.189289
34.951441 0.042695 423.190360
34.955441 0.042761 423.191433
34.959441 0.042811 423.192507
34.963441 0.042884 423.193582
34.967441 0.042974 423.194659
34.971440 0.043049 423.195738
34.975440 0.043103 423.196819
34.979440 0.043176 423.197901
34.983440 0.043273 423.198985
34.987440 0.043373 423.200072
34.991440 0.043433 423.201160
34.995440 0.043493 423.202252
34.999440 0.043583 423.203344
35.003440 0.043706 423.204438
35.007440 0.043798 423.205535
35.011440 0.043868 423.206635
35.015440 0.043954 423.207736
35.019440 0.044028 423.208840
35.023440 0.044119 423.209945
35.027440 0.044250 423.211053
35.031439 0.044371 423.212163
35.035439 0.044476 423.213277
35.039439 0.044594 423.214393
35.043439 0.044714 423.215513
35.047439 0.044804 423.216635
35.051439 0.044909 423.217760
35.055439 0.045039 423.218887
35.059439 0.045158 423.220018
35.063439 0.045311 423.221151
35.067439 0.045455 423.222288
35.071439 0.045590 423.223428
35.075439 0.045735 423.224572
35.079439 0.045902 423.225720
35.083439 0.046060 423.226872
35.087439 0.046164 423.228027
35.091439 0.046290 423.229186
35.095438 0.046448 423.230348
35.099438 0.046604 423.231513
35.103438 0.046709 423.232682
35.107438 0.046774 423.233855
35.111438 0.046910 423.235030
35.115438 0.047056 423.236207
35.119438 0.047207 423.237388
35.123438 0.047384 423.238572
35.127438 0.047575 423.239761
35.131438 0.047754 423.240954
35.135438 0.047904 423.242152
35.139438 0.048048 423.243354
35.143438 0.048201 423.244560
35.147438 0.048372 423.245770
35.151438 0.048536 423.246983
35.155438 0.048647 423.248201
35.159437 0.048781 423.249422
35.163437 0.048903 423.250646
35.167437 0.049060 423.251874
35.171437 0.049225 423.253104
35.175437 0.049390 423.254340
35.179437 0.049554 423.255579
35.183437 0.049697 423.256822
35.187437 0.049825 423.258069
35.191437 0.049974 423.259320
35.195437 0.050129 423.260574
35.199437 0.050294 423.261832
35.203437 0.050480 423.263094
35.207437 0.050624 423.264360
35.211437 0.050784 423.265631
35.215437 0.050967 423.266905
35.219436 0.051159 423.268184
35.223436 0.051387 423.269467
35.227436 0.051594 423.270755
35.231436 0.051766 423.272050
35.235436 0.051888 423.273348
35.239436 0.052023 423.274651
35.243436 0.052234 423.275957
35.247436 0.052431 423.277267
35.251436 0.052660 423.278582
35.255436 0.052852 423.279903
35.259436 0.053057 423.281229
35.263436 0.053300 423.282560
35.267436 0.053524 423.283896
35.271436 0.053767 423.285239
35.275436 0.053997 423.286587
35.279436 0.054222 423.287941
35.283435 0.054447 423.289301
35.287435 0.054665 423.290666
35.291435 0.054906 423.292037
35.295435 0.055121 423.293414
35.299435 0.055327 423.294797
35.303435 0.055570 423.296185
35.307435 0.055821 423.297578
35.311435 0.056038 423.298978
35.315435 0.056266 423.300384
35.319435 0.056546 423.301795
35.323435 0.056807 423.303213
35.327435 0.057027 423.304637
35.331435 0.057264 423.306068
35.335435 0.057523 423.307504
35.339435 0.057784 423.308946
35.343435 0.058071 423.310395
35.347434 0.058360 423.311851
35.351434 0.058588 423.313314
35.355434 0.058835 423.314784
35.359434 0.059160 423.316259
35.363434 0.059447 423.317742
35.367434 0.059744 423.319232
35.371434 0.060050 423.320730
35.375434 0.060314 423.322235
35.379434 0.060560 423.323748
35.383434 0.060834 423.325267
35.387434 0.061147 423.326792
35.391434 0.061441 423.328325
35.395434 0.061735 423.329866
35.399434 0.062020 423.331414
35.403434 0.062380 423.332969
35.407433 0.062770 423.334532
35.411433 0.063117 423.336104
35.415433 0.063489 423.337686
35.419433 0.063848 423.339277
35.423433 0.064197 423.340877
35.427433 0.064520 423.342486
35.431433 0.064851 423.344104
35.435433 0.065206 423.345729
35.439433 0.065580 423.347364
35.443433 0.065970 423.349007
35.447433 0.066378 423.350660
35.451433 0.066761 423.352323
35.455433 0.067148 423.353996
35.459433 0.067561 423.355679
35.463433 0.067895 423.357372
35.467433 0.068303 423.359074
35.471432 0.068671 423.360786
35.475432 0.068991 423.362507
35.479432 0.069411 423.364237
35.483432 0.069805 423.365976
35.487432 0.070239 423.367725
35.491432 0.070718 423.369485
35.495432 0.071224 423.371256
35.499432 0.071775 423.373040
35.503432 0.072291 423.374837
35.507432 0.072760 423.376647
35.511432 0.073169 423.378470
35.515432 0.073630 423.380304
35.519432 0.074171 423.382149
35.523432 0.074667 423.384006
35.527432 0.075220 423.385876
35.531431 0.075787 423.387759
35.535431 0.076315 423.389657
35.539431 0.076838 423.391568
35.543431 0.077272 423.393493
35.547431 0.077766 423.395430
35.551431 0.078402 423.397378
35.555431 0.078980 423.399340
35.559431 0.079596 423.401318
35.563431 0.080280 423.403310
35.567431 0.080951 423.405319
35.571431 0.081648 423.407345
35.575431 0.082352 423.409388
35.579431 0.083133 423.411449
35.583431 0.083924 423.413529
35.587431 0.084651 423.415628
35.591431 0.085430 423.417747
35.595430 0.086110 423.419884
35.599430 0.086823 423.422039
35.603430 0.087762 423.424212
35.607430 0.088749 423.426405
35.611430 0.089682 423.428624
35.615430 0.090640 423.430866
35.619430 0.091574 423.433132
35.623430 0.092550 423.435421
35.627430 0.093548 423.437735
35.631430 0.094622 423.440074
35.635430 0.095690 423.442438
35.639430 0.096672 423.444829
35.643430 0.097706 423.447247
35.647430 0.098807 423.449690
35.651430 0.099969 423.452159
35.655430 0.101079 423.454657
35.659429 0.102090 423.457183
35.663429 0.103372 423.459736
35.667429 0.104711 423.462317
35.671429 0.105956 423.464931
35.675429 0.107160 423.467579
35.679429 0.108602 423.470257
35.683429 0.110174 423.472968
35.687429 0.111715 423.475717
35.691429 0.113266 423.478505
35.695429 0.114722 423.481333
35.699429 0.116162 423.484198
35.703429 0.117750 423.487099
35.707429 0.119461 423.490038
35.711429 0.121157 423.493019
35.715429 0.122990 423.496043
35.719428 0.124754 423.499111
35.723428 0.126626 423.502224
35.727428 0.128492 423.505382
35.731428 0.130625 423.508588
35.735428 0.132784 423.511844
35.739428 0.135068 423.515155
35.743428 0.137512 423.518520
35.747428 0.139923 423.521945
35.751428 0.142529 423.525432
35.755428 0.145210 423.528980
35.759428 0.147882 423.532596
35.763428 0.150712 423.536279
35.767428 0.153388 423.540031
35.771428 0.156266 423.543853
35.775428 0.159457 423.547744
35.779428 0.162714 423.551711
35.783427 0.166066 423.555759
35.787427 0.169845 423.559889
35.791427 0.173763 423.564110
35.795427 0.178167 423.568428
35.799427 0.182448 423.572849
35.803427 0.186843 423.577383
35.807427 0.191424 423.582023
35.811427 0.196039 423.586776
35.815427 0.200859 423.591645
35.819427 0.205984 423.596632
35.823427 0.211056 423.601744
35.827427 0.216108 423.606985
35.831427 0.221166 423.612353
35.835427 0.226559 423.617848
35.839427 0.231825 423.623473
35.843427 0.236934 423.629235
35.847426 0.241777 423.635126
35.851426 0.247754 423.641141
35.855426 0.254272 423.647290
35.859426 0.260895 423.653599
35.863426 0.267496 423.660072
35.867426 0.273496 423.666713
35.871426 0.280564 423.673512
35.875426 0.288571 423.680469
35.879426 0.295877 423.687619
35.883426 0.302654 423.694968
35.887426 0.309598 423.702491
35.891426 0.318022 423.710183
35.895426 0.326493 423.718067
35.899426 0.334264 423.726169
35.903426 0.342525 423.734473
35.907425 0.351671 423.742975
35.911425 0.362053 423.751694
35.915425 0.372043 423.760660
35.919425 0.381979 423.769886
35.923425 0.391986 423.779360
35.927425 0.402719 423.789086
35.931425 0.414722 423.799070
35.935425 0.426995 423.809339
35.939425 0.439180 423.819918
35.943425 0.450952 423.830803
35.947425 0.461955 423.841990
35.951425 0.473935 423.853464
35.955425 0.487196 423.865219
35.959425 0.500815 423.877294
35.963425 0.514534 423.889711
35.967425 0.528313 423.902470
35.971424 0.542383 423.915575
35.975424 0.557123 423.929026
35.979424 0.571676 423.942840
35.983424 0.586333 423.957026
35.987424 0.602351 423.971577
35.991424 0.617931 423.986511
35.995424 0.633520 424.001850
35.999424 0.648335 424.017577
36.003424 0.662482 424.033688
36.007424 0.676277 424.050162
36.011424 0.690858 424.066985
36.015424 0.705107 424.084163
36.019424 0.719047 424.101709
