# Frequency(THz) spec_cv(J/Kg.K.THz) cum_cv(J/Kg.K)
0.839987 15.613275 36.247383
0.843986 15.652644 36.639364
0.847986 15.697677 37.032161
0.851986 15.733945 37.426101
0.855986 15.756639 37.821100
0.859986 15.804811 38.216861
0.863986 15.835752 38.613421
0.867986 15.862003 39.011153
0.871986 15.889027 39.409489
0.875986 15.889666 39.808471
0.879986 15.909409 40.207869
0.883986 15.943134 40.607333
0.887986 15.984372 41.007574
0.891986 16.034880 41.408785
0.895986 16.089412 41.811131
0.899986 16.140672 42.214820
0.903986 16.194473 42.619842
0.907985 16.230572 43.026160
0.911985 16.266393 43.433560
0.915985 16.295917 43.841893
0.919985 16.319748 44.251096
0.923985 16.333777 44.660967
0.927985 16.365992 45.071324
0.931985 16.401451 45.482145
0.935985 16.412875 45.893906
0.939985 16.429450 46.306370
0.943985 16.455757 46.719069
0.947985 16.515033 47.132286
0.951985 16.552110 47.546540
0.955985 16.580590 47.962236
0.959985 16.596858 48.378612
0.963985 16.616233 48.795565
0.967985 16.648500 49.212927
0.971984 16.671448 49.630896
0.975984 16.692200 50.049522
0.979984 16.733260 50.468772
0.983984 16.733233 50.888766
0.987984 16.739759 51.309533
0.991984 16.752150 51.730153
0.995984 16.774877 52.151014
0.999984 16.814933 52.572305
1.003984 16.848502 52.994357
1.007984 16.878841 53.417397
1.011984 16.905543 53.841228
1.015984 16.930159 54.265782
1.019984 16.953042 54.690975
1.023984 16.982741 55.116768
1.027984 17.003038 55.543185
1.031983 17.003189 55.970283
1.035983 17.009982 56.397576
1.039983 17.027099 56.824984
1.043983 17.038151 57.252677
1.047983 17.049494 57.680766
1.051983 17.058039 58.109110
1.055983 17.054849 58.537724
1.059983 17.046205 58.966443
1.063983 17.017971 59.394980
1.067983 16.980912 59.823114
1.071983 16.954129 60.250375
1.075983 16.946406 60.676754
1.079983 16.950070 61.102721
1.083983 16.944259 61.528669
1.087983 16.933649 61.954617
1.091983 16.930507 62.380340
1.095982 16.931420 62.805874
1.099982 16.924165 63.231288
1.103982 16.933038 63.656746
1.107982 16.956270 64.082124
1.111982 16.951913 64.507959
1.115982 16.965354 64.934208
1.119982 16.985711 65.360388
1.123982 16.986190 65.787038
1.127982 16.997895 66.213983
1.131982 17.002031 66.640951
1.135982 17.016259 67.068222
1.139982 17.045626 67.495650
1.143982 17.077298 67.923653
1.147982 17.099095 68.352476
1.151982 17.111485 68.781970
1.155982 17.114468 69.211892
1.159981 17.111857 69.642008
1.163981 17.108337 70.072004
1.167981 17.111747 70.502030
1.171981 17.108684 70.932021
1.175981 17.099695 71.362062
1.179981 17.111480 71.791948
1.183981 17.119777 72.221815
1.187981 17.129828 72.652036
1.191981 17.140421 73.082425
1.195981 17.135337 73.513079
1.199981 17.116014 73.943834
1.203981 17.103058 74.374276
1.207981 17.113609 74.804272
1.211981 17.128802 75.234166
1.215981 17.138879 75.664459
1.219980 17.148576 76.095111
1.223980 17.177767 76.525873
1.227980 17.192707 76.957148
1.231980 17.190676 77.389090
1.235980 17.203345 77.821205
1.239980 17.218341 78.253383
1.243980 17.225745 78.685959
1.247980 17.229294 79.118812
1.251980 17.226642 79.551787
1.255980 17.216697 79.984787
1.259980 17.199345 80.417632
1.263980 17.177753 80.850132
1.267980 17.170893 81.282130
1.271980 17.155773 81.713737
1.275980 17.128575 82.145164
1.279980 17.082835 82.576019
1.283979 17.063525 83.005984
1.287979 17.032263 83.434918
1.291979 16.994496 83.863483
1.295979 16.963941 84.291090
1.299979 16.929509 84.717780
1.303979 16.902919 85.143706
1.307979 16.866801 85.568816
1.311979 16.832346 85.993199
1.315979 16.822685 86.416648
1.319979 16.820459 86.839517
1.323979 16.810924 87.262310
1.327979 16.775246 87.684950
1.331979 16.736372 88.107101
1.335979 16.723730 88.528227
1.339979 16.712643 88.948582
1.343978 16.689113 89.368753
1.347978 16.652165 89.788442
1.351978 16.633031 90.207449
1.355978 16.632553 90.625620
