Frequency (THz), Spectral Heat Capacity (J/Kg/K/THz), Cumulative Heat Capacity (J/Kg/K)
1.512375800000000048e+01,1.256649999999999989e-01,3.732314420000000155e+02
1.512775800000000004e+01,1.250509999999999955e-01,3.732346099999999751e+02
1.513175799999999960e+01,1.244309999999999999e-01,3.732377589999999827e+02
1.513575799999999916e+01,1.237719999999999931e-01,3.732408940000000257e+02
1.513975800000000049e+01,1.231890000000000068e-01,3.732440139999999928e+02
1.514375800000000005e+01,1.226010000000000016e-01,3.732471170000000029e+02
1.514775799999999961e+01,1.220849999999999991e-01,3.732502059999999915e+02
1.515175799999999917e+01,1.215429999999999983e-01,3.732532800000000179e+02
1.515575800000000051e+01,1.209680000000000061e-01,3.732563420000000178e+02
1.515975700000000082e+01,1.204839999999999939e-01,3.732593899999999962e+02
1.516375700000000037e+01,1.199140000000000067e-01,3.732624230000000125e+02
1.516775699999999993e+01,1.192549999999999999e-01,3.732654440000000022e+02
1.517175699999999949e+01,1.187740000000000046e-01,3.732684499999999730e+02
1.517575700000000083e+01,1.183450000000000057e-01,3.732714399999999841e+02
1.517975700000000039e+01,1.179120000000000029e-01,3.732744200000000205e+02
1.518375699999999995e+01,1.174690000000000040e-01,3.732773890000000279e+02
1.518775699999999951e+01,1.171849999999999975e-01,3.732803470000000061e+02
1.519175700000000084e+01,1.168300000000000033e-01,3.732832950000000096e+02
1.519575700000000040e+01,1.164410000000000028e-01,3.732862370000000283e+02
1.519975699999999996e+01,1.159059999999999951e-01,3.732891680000000179e+02
1.520375699999999952e+01,1.153789999999999955e-01,3.732920889999999758e+02
1.520775700000000086e+01,1.149680000000000007e-01,3.732949949999999717e+02
1.521175700000000042e+01,1.146049999999999985e-01,3.732978889999999978e+02
1.521575699999999998e+01,1.142269999999999952e-01,3.733007739999999899e+02
1.521975600000000028e+01,1.139180000000000054e-01,3.733036500000000046e+02
1.522375599999999984e+01,1.135250000000000009e-01,3.733065159999999878e+02
1.522775599999999940e+01,1.131609999999999977e-01,3.733093739999999912e+02
1.523175600000000074e+01,1.130010000000000042e-01,3.733122230000000172e+02
1.523575600000000030e+01,1.128409999999999969e-01,3.733150640000000067e+02
1.523975599999999986e+01,1.126569999999999933e-01,3.733179020000000037e+02
1.524375599999999942e+01,1.123839999999999978e-01,3.733207360000000108e+02
1.524775600000000075e+01,1.119980000000000003e-01,3.733235639999999762e+02
1.525175600000000031e+01,1.116769999999999985e-01,3.733263840000000187e+02
1.525575599999999987e+01,1.113510000000000055e-01,3.733291950000000270e+02
1.525975599999999943e+01,1.110850000000000032e-01,3.733319970000000012e+02
1.526375600000000077e+01,1.107910000000000006e-01,3.733347929999999906e+02
1.526775600000000033e+01,1.103949999999999931e-01,3.733375810000000001e+02
1.527175599999999989e+01,1.100089999999999957e-01,3.733403609999999730e+02
1.527575599999999945e+01,1.096970000000000028e-01,3.733431299999999737e+02
1.527975600000000078e+01,1.093879999999999991e-01,3.733458909999999946e+02
1.528375499999999931e+01,1.090779999999999944e-01,3.733486439999999789e+02
1.528775500000000065e+01,1.087550000000000044e-01,3.733513889999999833e+02
1.529175500000000021e+01,1.084040000000000004e-01,3.733541260000000079e+02
1.529575499999999977e+01,1.079249999999999932e-01,3.733568549999999959e+02
1.529975499999999933e+01,1.075839999999999991e-01,3.733595740000000092e+02
1.530375500000000066e+01,1.072089999999999987e-01,3.733622819999999933e+02
1.530775500000000022e+01,1.067459999999999937e-01,3.733649819999999977e+02
1.531175499999999978e+01,1.063510000000000011e-01,3.733676699999999755e+02
1.531575499999999934e+01,1.060320000000000012e-01,3.733703479999999786e+02
1.531975500000000068e+01,1.056259999999999977e-01,3.733730170000000044e+02
1.532375500000000024e+01,1.051409999999999983e-01,3.733756769999999960e+02
1.532775499999999980e+01,1.046080000000000065e-01,3.733783260000000155e+02
1.533175499999999936e+01,1.041600000000000026e-01,3.733809610000000134e+02
1.533575500000000069e+01,1.036699999999999983e-01,3.733835849999999823e+02
1.533975500000000025e+01,1.031929999999999931e-01,3.733861969999999815e+02
1.534375400000000056e+01,1.027030000000000026e-01,3.733887960000000135e+02
1.534775400000000012e+01,1.022060000000000052e-01,3.733913830000000189e+02
1.535175399999999968e+01,1.017880000000000035e-01,3.733939579999999978e+02
1.535575399999999924e+01,1.013059999999999933e-01,3.733965210000000070e+02
1.535975400000000057e+01,1.009199999999999958e-01,3.733990729999999871e+02
1.536375400000000013e+01,1.004639999999999977e-01,3.734016139999999950e+02
1.536775399999999969e+01,1.000410000000000049e-01,3.734041450000000282e+02
1.537175399999999925e+01,9.962000000000000022e-02,3.734066639999999779e+02
1.537575400000000059e+01,9.909900000000000653e-02,3.734091730000000098e+02
1.537975400000000015e+01,9.854400000000000659e-02,3.734116710000000126e+02
1.538375399999999971e+01,9.804000000000000214e-02,3.734141549999999938e+02
1.538775399999999927e+01,9.756800000000000195e-02,3.734166250000000105e+02
1.539175400000000060e+01,9.716099999999999737e-02,3.734190830000000005e+02
1.539575400000000016e+01,9.680500000000000216e-02,3.734215290000000209e+02
1.539975399999999972e+01,9.636999999999999733e-02,3.734239670000000046e+02
1.540375399999999928e+01,9.597100000000000075e-02,3.734263950000000136e+02
1.540775299999999959e+01,9.553499999999999492e-02,3.734288119999999935e+02
1.541175299999999915e+01,9.514300000000000535e-02,3.734312180000000012e+02
1.541575300000000048e+01,9.482999999999999763e-02,3.734336139999999773e+02
1.541975300000000004e+01,9.453499999999999404e-02,3.734360009999999761e+02
1.542375299999999960e+01,9.417799999999999783e-02,3.734383809999999926e+02
1.542775299999999916e+01,9.383199999999999874e-02,3.734407519999999749e+02
1.543175300000000050e+01,9.346699999999999453e-02,3.734431149999999775e+02
1.543575300000000006e+01,9.306399999999999395e-02,3.734454690000000028e+02
1.543975299999999962e+01,9.261900000000000688e-02,3.734478129999999965e+02
1.544375299999999918e+01,9.212199999999999556e-02,3.734501460000000179e+02
1.544775300000000051e+01,9.162199999999999511e-02,3.734524680000000103e+02
1.545175300000000007e+01,9.128500000000000503e-02,3.734547769999999787e+02
1.545575299999999963e+01,9.094499999999999806e-02,3.734570749999999748e+02
1.545975299999999919e+01,9.055199999999999361e-02,3.734593649999999911e+02
1.546375300000000053e+01,9.013200000000000378e-02,3.734616459999999734e+02
1.546775300000000009e+01,8.976399999999999657e-02,3.734639169999999808e+02
1.547175200000000039e+01,8.931600000000000650e-02,3.734661770000000161e+02
1.547575199999999995e+01,8.889500000000000179e-02,3.734684270000000197e+02
1.547975199999999951e+01,8.854900000000000271e-02,3.734706669999999917e+02
1.548375200000000085e+01,8.818499999999999950e-02,3.734728959999999915e+02
1.548775200000000041e+01,8.776599999999999679e-02,3.734751170000000116e+02
1.549175199999999997e+01,8.736900000000000222e-02,3.734773289999999974e+02
1.549575199999999953e+01,8.700499999999999901e-02,3.734795290000000136e+02
1.549975200000000086e+01,8.673200000000000354e-02,3.734817199999999957e+02
1.550375200000000042e+01,8.636599999999999833e-02,3.734839039999999954e+02
1.550775199999999998e+01,8.599600000000000299e-02,3.734860790000000179e+02
1.551175199999999954e+01,8.566999999999999615e-02,3.734882450000000063e+02
1.551575200000000088e+01,8.537699999999999456e-02,3.734904020000000173e+02
1.551975200000000044e+01,8.510600000000000109e-02,3.734925519999999892e+02
1.552375200000000000e+01,8.483499999999999375e-02,3.734946939999999813e+02
1.552775199999999955e+01,8.453700000000000103e-02,3.734968299999999886e+02
1.553175099999999986e+01,8.421800000000000119e-02,3.734989580000000160e+02
1.553575099999999942e+01,8.387999999999999623e-02,3.735010780000000068e+02
1.553975100000000076e+01,8.354599999999999527e-02,3.735031910000000153e+02
1.554375100000000032e+01,8.323400000000000243e-02,3.735052949999999896e+02
1.554775099999999988e+01,8.296699999999999908e-02,3.735073899999999867e+02
1.555175099999999944e+01,8.261699999999999600e-02,3.735094789999999989e+02
1.555575100000000077e+01,8.228399999999999603e-02,3.735115599999999745e+02
1.555975100000000033e+01,8.196900000000000019e-02,3.735136319999999728e+02
1.556375099999999989e+01,8.164200000000000623e-02,3.735156959999999913e+02
1.556775099999999945e+01,8.127500000000000002e-02,3.735177519999999731e+02
1.557175100000000079e+01,8.092399999999999594e-02,3.735197999999999752e+02
1.557575100000000035e+01,8.064300000000000634e-02,3.735218380000000025e+02
1.557975099999999991e+01,8.042799999999999949e-02,3.735238679999999931e+02
1.558375099999999946e+01,8.027700000000000113e-02,3.735258919999999989e+02
1.558775100000000080e+01,8.013399999999999690e-02,3.735279110000000173e+02
1.559175100000000036e+01,7.996799999999999742e-02,3.735299269999999865e+02
1.559575000000000067e+01,7.977499999999999869e-02,3.735319390000000226e+02
1.559975000000000023e+01,7.963599999999999846e-02,3.735339460000000145e+02
1.560374999999999979e+01,7.938699999999999923e-02,3.735359490000000164e+02
1.560774999999999935e+01,7.915300000000000114e-02,3.735379469999999742e+02
1.561175000000000068e+01,7.882599999999999330e-02,3.735399390000000039e+02
1.561575000000000024e+01,7.843400000000000372e-02,3.735419249999999920e+02
1.561974999999999980e+01,7.804700000000000526e-02,3.735439010000000053e+02
1.562374999999999936e+01,7.772099999999999842e-02,3.735458669999999870e+02
1.562775000000000070e+01,7.745599999999999707e-02,3.735478249999999889e+02
1.563175000000000026e+01,7.719099999999999573e-02,3.735497750000000110e+02
1.563574999999999982e+01,7.696899999999999575e-02,3.735517179999999939e+02
1.563974999999999937e+01,7.673199999999999465e-02,3.735536549999999920e+02
1.564375000000000071e+01,7.639100000000000057e-02,3.735555870000000027e+02
1.564775000000000027e+01,7.606200000000000461e-02,3.735575109999999768e+02
1.565174999999999983e+01,7.584699999999999775e-02,3.735594270000000279e+02
1.565574999999999939e+01,7.558499999999999941e-02,3.735613349999999855e+02
1.565974899999999970e+01,7.533499999999999919e-02,3.735632390000000100e+02
1.566374899999999926e+01,7.508700000000000097e-02,3.735651349999999979e+02
1.566774900000000059e+01,7.477899999999999825e-02,3.735670250000000010e+02
1.567174900000000015e+01,7.444499999999999729e-02,3.735689080000000217e+02
1.567574899999999971e+01,7.410700000000000620e-02,3.735707840000000033e+02
1.567974899999999927e+01,7.376599999999999824e-02,3.735726500000000101e+02
1.568374900000000061e+01,7.344799999999999940e-02,3.735745089999999777e+02
1.568774900000000017e+01,7.316599999999999493e-02,3.735763590000000249e+02
1.569174899999999973e+01,7.284999999999999809e-02,3.735782009999999786e+02
1.569574899999999928e+01,7.256600000000000550e-02,3.735800360000000069e+02
1.569974900000000062e+01,7.231700000000000628e-02,3.735818629999999985e+02
1.570374900000000018e+01,7.197800000000000031e-02,3.735836840000000052e+02
1.570774899999999974e+01,7.168800000000000172e-02,3.735854969999999753e+02
1.571174899999999930e+01,7.135800000000000476e-02,3.735873030000000199e+02
1.571574900000000063e+01,7.102400000000000380e-02,3.735890999999999735e+02
1.571974799999999917e+01,7.073899999999999633e-02,3.735908900000000017e+02
1.572374800000000050e+01,7.048200000000000298e-02,3.735926699999999983e+02
1.572774800000000006e+01,7.029799999999999938e-02,3.735944450000000074e+02
1.573174799999999962e+01,7.012300000000000477e-02,3.735962139999999749e+02
1.573574799999999918e+01,6.990699999999999692e-02,3.735979780000000119e+02
1.573974800000000052e+01,6.971499999999999919e-02,3.735997380000000021e+02
1.574374800000000008e+01,6.946399999999999797e-02,3.736014930000000049e+02
1.574774799999999964e+01,6.923899999999999499e-02,3.736032420000000229e+02
1.575174799999999919e+01,6.901100000000000290e-02,3.736049849999999992e+02
1.575574800000000053e+01,6.880799999999999417e-02,3.736067219999999907e+02
1.575974800000000009e+01,6.865300000000000569e-02,3.736084539999999947e+02
1.576374799999999965e+01,6.848300000000000221e-02,3.736101810000000114e+02
1.576774799999999921e+01,6.835800000000000209e-02,3.736119049999999788e+02
1.577174800000000054e+01,6.825699999999999823e-02,3.736136240000000157e+02
1.577574800000000010e+01,6.811699999999999700e-02,3.736153410000000008e+02
1.577974799999999966e+01,6.791500000000000314e-02,3.736170549999999935e+02
1.578374699999999997e+01,6.771299999999999542e-02,3.736187639999999988e+02
1.578774699999999953e+01,6.750499999999999556e-02,3.736204680000000167e+02
1.579174700000000087e+01,6.728199999999999459e-02,3.736221669999999904e+02
1.579574700000000043e+01,6.708000000000000074e-02,3.736238609999999767e+02
1.579974699999999999e+01,6.689499999999999613e-02,3.736255499999999756e+02
1.580374699999999955e+01,6.676400000000000390e-02,3.736272329999999897e+02
1.580774700000000088e+01,6.663399999999999879e-02,3.736289130000000114e+02
1.581174700000000044e+01,6.657000000000000417e-02,3.736305889999999863e+02
1.581574700000000000e+01,6.649900000000000255e-02,3.736322630000000231e+02
1.581974699999999956e+01,6.643599999999999506e-02,3.736339350000000081e+02
1.582374699999999912e+01,6.637600000000000444e-02,3.736356059999999957e+02
1.582774700000000045e+01,6.628900000000000070e-02,3.736372749999999883e+02
1.583174700000000001e+01,6.611100000000000310e-02,3.736389419999999859e+02
1.583574699999999957e+01,6.590600000000000624e-02,3.736406059999999911e+02
1.583974699999999913e+01,6.569200000000000039e-02,3.736422650000000090e+02
1.584374700000000047e+01,6.544899999999999329e-02,3.736439189999999826e+02
1.584774600000000078e+01,6.520199999999999607e-02,3.736455670000000282e+02
1.585174600000000034e+01,6.492399999999999560e-02,3.736472079999999778e+02
1.585574599999999990e+01,6.470199999999999563e-02,3.736488429999999994e+02
1.585974599999999946e+01,6.447200000000000153e-02,3.736504719999999793e+02
1.586374600000000079e+01,6.420599999999999918e-02,3.736520949999999743e+02
1.586774600000000035e+01,6.401300000000000046e-02,3.736537119999999845e+02
1.587174599999999991e+01,6.384399999999999797e-02,3.736553230000000099e+02
1.587574599999999947e+01,6.363299999999999512e-02,3.736569299999999885e+02
1.587974600000000081e+01,6.344099999999999739e-02,3.736585319999999797e+02
1.588374600000000036e+01,6.325799999999999479e-02,3.736601289999999835e+02
1.588774599999999992e+01,6.305199999999999694e-02,3.736617210000000000e+02
1.589174599999999948e+01,6.290099999999999858e-02,3.736633079999999723e+02
1.589574600000000082e+01,6.277099999999999347e-02,3.736648910000000114e+02
1.589974600000000038e+01,6.267000000000000348e-02,3.736664700000000039e+02
1.590374599999999994e+01,6.252099999999999325e-02,3.736680470000000014e+02
1.590774500000000025e+01,6.237499999999999989e-02,3.736696200000000090e+02
1.591174499999999981e+01,6.224400000000000072e-02,3.736711890000000267e+02
1.591574499999999937e+01,6.205299999999999705e-02,3.736727549999999951e+02
1.591974500000000070e+01,6.190199999999999869e-02,3.736743169999999736e+02
1.592374500000000026e+01,6.174199999999999827e-02,3.736758740000000216e+02
1.592774499999999982e+01,6.160500000000000004e-02,3.736774280000000203e+02
1.593174499999999938e+01,6.146499999999999880e-02,3.736789779999999723e+02
1.593574500000000072e+01,6.130900000000000238e-02,3.736805249999999887e+02
1.593974500000000027e+01,6.113099999999999784e-02,3.736820680000000152e+02
1.594374499999999983e+01,6.100499999999999673e-02,3.736836059999999975e+02
1.594774499999999939e+01,6.090099999999999680e-02,3.736851409999999873e+02
1.595174500000000073e+01,6.076600000000000057e-02,3.736866729999999848e+02
1.595574500000000029e+01,6.067999999999999783e-02,3.736882019999999898e+02
1.595974499999999985e+01,6.055200000000000166e-02,3.736897280000000023e+02
1.596374499999999941e+01,6.040299999999999836e-02,3.736912520000000200e+02
1.596774500000000074e+01,6.024299999999999794e-02,3.736927719999999908e+02
1.597174399999999928e+01,6.007599999999999746e-02,3.736942879999999718e+02
1.597574400000000061e+01,5.996300000000000241e-02,3.736957990000000223e+02
1.597974400000000017e+01,5.981999999999999817e-02,3.736973070000000234e+02
1.598374399999999973e+01,5.969499999999999806e-02,3.736988129999999728e+02
1.598774399999999929e+01,5.954899999999999777e-02,3.737003139999999917e+02
1.599174400000000063e+01,5.941500000000000253e-02,3.737018130000000156e+02
1.599574400000000018e+01,5.934299999999999992e-02,3.737033079999999927e+02
1.599974399999999974e+01,5.926800000000000124e-02,3.737047999999999774e+02
1.600374400000000108e+01,5.916300000000000031e-02,3.737062910000000215e+02
1.600774399999999886e+01,5.909600000000000269e-02,3.737077790000000164e+02
1.601174400000000020e+01,5.903300000000000214e-02,3.737092650000000162e+02
1.601574400000000153e+01,5.895399999999999946e-02,3.737107490000000212e+02
1.601974399999999932e+01,5.883700000000000041e-02,3.737122319999999718e+02
1.602374400000000065e+01,5.868400000000000005e-02,3.737137119999999868e+02
1.602774399999999844e+01,5.849700000000000039e-02,3.737151890000000094e+02
1.603174299999999874e+01,5.832899999999999890e-02,3.737166619999999853e+02
1.603574300000000008e+01,5.820299999999999779e-02,3.737181289999999763e+02
1.603974300000000142e+01,5.809299999999999881e-02,3.737195939999999723e+02
1.604374299999999920e+01,5.797999999999999682e-02,3.737210549999999785e+02
1.604774300000000054e+01,5.786999999999999783e-02,3.737225139999999897e+02
1.605174299999999832e+01,5.778599999999999709e-02,3.737239700000000084e+02
1.605574299999999965e+01,5.769099999999999923e-02,3.737254229999999779e+02
1.605974300000000099e+01,5.756100000000000105e-02,3.737268740000000093e+02
1.606374299999999877e+01,5.739199999999999857e-02,3.737283229999999890e+02
1.606774300000000011e+01,5.722300000000000303e-02,3.737297669999999812e+02
1.607174300000000144e+01,5.701500000000000318e-02,3.737312069999999835e+02
1.607574299999999923e+01,5.682000000000000245e-02,3.737326429999999959e+02
1.607974300000000056e+01,5.664099999999999691e-02,3.737340740000000210e+02
1.608374299999999835e+01,5.649400000000000255e-02,3.737354990000000043e+02
1.608774299999999968e+01,5.636000000000000038e-02,3.737369209999999953e+02
1.609174300000000102e+01,5.620599999999999902e-02,3.737383389999999963e+02
1.609574200000000133e+01,5.603999999999999954e-02,3.737397540000000049e+02
1.609974199999999911e+01,5.588800000000000018e-02,3.737411640000000261e+02
1.610374200000000044e+01,5.575800000000000201e-02,3.737425700000000006e+02
1.610774199999999823e+01,5.559200000000000252e-02,3.737439729999999827e+02
1.611174199999999956e+01,5.543700000000000017e-02,3.737453729999999723e+02
1.611574200000000090e+01,5.528299999999999881e-02,3.737467679999999746e+02
1.611974199999999868e+01,5.510899999999999826e-02,3.737481589999999869e+02
1.612374200000000002e+01,5.494700000000000278e-02,3.737495460000000094e+02
1.612774200000000135e+01,5.484900000000000192e-02,3.737509289999999851e+02
1.613174199999999914e+01,5.473999999999999699e-02,3.737523090000000252e+02
1.613574200000000047e+01,5.460799999999999682e-02,3.737536860000000161e+02
1.613974199999999826e+01,5.448000000000000065e-02,3.737550600000000145e+02
1.614374199999999959e+01,5.433700000000000335e-02,3.737564310000000205e+02
1.614774200000000093e+01,5.420099999999999918e-02,3.737577989999999772e+02
1.615174199999999871e+01,5.403800000000000270e-02,3.737591630000000009e+02
1.615574200000000005e+01,5.390699999999999659e-02,3.737605229999999779e+02
1.615974100000000035e+01,5.376899999999999735e-02,3.737618790000000217e+02
1.616374100000000169e+01,5.361799999999999899e-02,3.737632320000000163e+02
1.616774099999999947e+01,5.350900000000000101e-02,3.737645820000000185e+02
1.617174100000000081e+01,5.337800000000000183e-02,3.737659279999999740e+02
1.617574099999999859e+01,5.325799999999999979e-02,3.737672709999999938e+02
1.617974099999999993e+01,5.312299999999999661e-02,3.737686110000000212e+02
1.618374100000000126e+01,5.297899999999999832e-02,3.737699479999999994e+02
1.618774099999999905e+01,5.284799999999999914e-02,3.737712809999999877e+02
1.619174100000000038e+01,5.272199999999999803e-02,3.737726109999999835e+02
1.619574100000000172e+01,5.257400000000000267e-02,3.737739369999999894e+02
1.619974099999999950e+01,5.243300000000000044e-02,3.737752610000000004e+02
1.620374100000000084e+01,5.229899999999999827e-02,3.737765800000000240e+02
1.620774099999999862e+01,5.215399999999999897e-02,3.737778959999999984e+02
1.621174099999999996e+01,5.199999999999999761e-02,3.737792089999999803e+02
1.621574100000000129e+01,5.190299999999999775e-02,3.737805179999999723e+02
1.621974000000000160e+01,5.184699999999999726e-02,3.737818229999999744e+02
1.622373999999999938e+01,5.177600000000000258e-02,3.737831269999999790e+02
1.622774000000000072e+01,5.169699999999999990e-02,3.737844289999999887e+02
1.623173999999999850e+01,5.158299999999999691e-02,3.737857290000000035e+02
1.623573999999999984e+01,5.145799999999999680e-02,3.737870270000000232e+02
1.623974000000000117e+01,5.138100000000000306e-02,3.737883219999999937e+02
1.624373999999999896e+01,5.130400000000000238e-02,3.737896139999999718e+02
1.624774000000000029e+01,5.118899999999999839e-02,3.737909040000000118e+02
1.625174000000000163e+01,5.107400000000000134e-02,3.737921929999999975e+02
1.625573999999999941e+01,5.098899999999999960e-02,3.737934779999999932e+02
1.625974000000000075e+01,5.090299999999999686e-02,3.737947599999999966e+02
1.626373999999999853e+01,5.081200000000000300e-02,3.737960400000000050e+02
1.626773999999999987e+01,5.070899999999999713e-02,3.737973190000000159e+02
1.627174000000000120e+01,5.061000000000000221e-02,3.737985939999999800e+02
1.627573999999999899e+01,5.050700000000000328e-02,3.737998680000000036e+02
1.627974000000000032e+01,5.044900000000000079e-02,3.738011379999999804e+02
1.628373900000000063e+01,5.040200000000000236e-02,3.738024070000000165e+02
1.628773899999999841e+01,5.030300000000000049e-02,3.738036740000000009e+02
1.629173899999999975e+01,5.019300000000000150e-02,3.738049399999999878e+02
1.629573900000000108e+01,5.010499999999999676e-02,3.738062019999999848e+02
1.629973899999999887e+01,5.003099999999999908e-02,3.738074629999999843e+02
1.630373900000000020e+01,4.993700000000000222e-02,3.738087209999999914e+02
1.630773900000000154e+01,4.981499999999999817e-02,3.738099770000000035e+02
1.631173899999999932e+01,4.970100000000000212e-02,3.738112310000000207e+02
1.631573900000000066e+01,4.957799999999999707e-02,3.738124809999999911e+02
1.631973899999999844e+01,4.947200000000000208e-02,3.738137290000000235e+02
1.632373899999999978e+01,4.941600000000000159e-02,3.738149740000000065e+02
1.632773900000000111e+01,4.934299999999999797e-02,3.738162159999999972e+02
1.633173899999999890e+01,4.924200000000000105e-02,3.738174569999999903e+02
1.633573900000000023e+01,4.915300000000000225e-02,3.738186959999999885e+02
1.633973900000000157e+01,4.904700000000000032e-02,3.738199329999999918e+02
1.634373899999999935e+01,4.895000000000000046e-02,3.738211670000000026e+02
1.634773799999999966e+01,4.888100000000000084e-02,3.738223980000000211e+02
1.635173800000000099e+01,4.881100000000000022e-02,3.738236269999999877e+02
1.635573799999999878e+01,4.876699999999999785e-02,3.738248550000000137e+02
1.635973800000000011e+01,4.871199999999999836e-02,3.738260809999999879e+02
1.636373800000000145e+01,4.862199999999999855e-02,3.738273060000000214e+02
1.636773799999999923e+01,4.856499999999999706e-02,3.738285290000000032e+02
1.637173800000000057e+01,4.851699999999999763e-02,3.738297499999999900e+02
1.637573799999999835e+01,4.846700000000000313e-02,3.738309699999999793e+02
1.637973799999999969e+01,4.839299999999999852e-02,3.738321890000000280e+02
1.638373800000000102e+01,4.833099999999999896e-02,3.738334060000000250e+02
1.638773799999999881e+01,4.827900000000000247e-02,3.738346220000000244e+02
1.639173800000000014e+01,4.820800000000000085e-02,3.738358359999999720e+02
1.639573800000000148e+01,4.816700000000000148e-02,3.738370479999999816e+02
1.639973799999999926e+01,4.812299999999999911e-02,3.738382589999999936e+02
1.640373800000000060e+01,4.807800000000000268e-02,3.738394690000000082e+02
1.640773700000000090e+01,4.801799999999999818e-02,3.738406780000000253e+02
1.641173699999999869e+01,4.794500000000000151e-02,3.738418859999999881e+02
1.641573700000000002e+01,4.784999999999999670e-02,3.738430910000000154e+02
1.641973700000000136e+01,4.775100000000000178e-02,3.738442949999999882e+02
1.642373699999999914e+01,4.766100000000000197e-02,3.738454970000000230e+02
1.642773700000000048e+01,4.757499999999999923e-02,3.738466960000000086e+02
1.643173699999999826e+01,4.747699999999999837e-02,3.738478920000000016e+02
1.643573699999999960e+01,4.739000000000000157e-02,3.738490869999999973e+02
1.643973700000000093e+01,4.734000000000000014e-02,3.738502790000000005e+02
1.644373699999999872e+01,4.730000000000000177e-02,3.738514690000000087e+02
1.644773700000000005e+01,4.724699999999999733e-02,3.738526590000000169e+02
1.645173700000000139e+01,4.715400000000000147e-02,3.738538469999999734e+02
1.645573699999999917e+01,4.704599999999999754e-02,3.738550329999999917e+02
1.645973700000000051e+01,4.695599999999999774e-02,3.738562170000000151e+02
1.646373699999999829e+01,4.687999999999999806e-02,3.738573979999999892e+02
1.646773699999999963e+01,4.679300000000000126e-02,3.738585770000000252e+02
1.647173599999999993e+01,4.667700000000000321e-02,3.738597540000000095e+02
1.647573600000000127e+01,4.654900000000000010e-02,3.738609289999999987e+02
1.647973599999999905e+01,4.643400000000000305e-02,3.738620999999999981e+02
1.648373600000000039e+01,4.632000000000000006e-02,3.738632690000000025e+02
1.648773600000000172e+01,4.621600000000000014e-02,3.738644340000000170e+02
1.649173599999999951e+01,4.612900000000000333e-02,3.738655969999999797e+02
1.649573600000000084e+01,4.605399999999999772e-02,3.738667570000000069e+02
1.649973599999999863e+01,4.596999999999999698e-02,3.738679159999999797e+02
1.650373599999999996e+01,4.588799999999999824e-02,3.738690720000000169e+02
1.650773600000000130e+01,4.578600000000000031e-02,3.738702269999999999e+02
1.651173599999999908e+01,4.568799999999999945e-02,3.738713789999999904e+02
1.651573600000000042e+01,4.557900000000000146e-02,3.738725279999999884e+02
1.651973600000000175e+01,4.546499999999999847e-02,3.738736749999999915e+02
1.652373599999999954e+01,4.537399999999999767e-02,3.738748190000000022e+02
1.652773600000000087e+01,4.526399999999999868e-02,3.738759610000000180e+02
1.653173500000000118e+01,4.512300000000000338e-02,3.738770999999999844e+02
1.653573499999999896e+01,4.499500000000000027e-02,3.738782350000000179e+02
1.653973500000000030e+01,4.486099999999999810e-02,3.738793679999999995e+02
1.654373500000000163e+01,4.473200000000000093e-02,3.738804969999999912e+02
1.654773499999999942e+01,4.462399999999999700e-02,3.738816229999999905e+02
1.655173500000000075e+01,4.451000000000000095e-02,3.738827449999999999e+02
1.655573499999999854e+01,4.440399999999999903e-02,3.738838660000000118e+02
1.655973499999999987e+01,4.430300000000000210e-02,3.738849829999999770e+02
1.656373500000000121e+01,4.420500000000000124e-02,3.738860980000000040e+02
1.656773499999999899e+01,4.414200000000000068e-02,3.738872099999999818e+02
1.657173500000000033e+01,4.407900000000000013e-02,3.738883200000000215e+02
1.657573500000000166e+01,4.396900000000000114e-02,3.738894290000000069e+02
1.657973499999999945e+01,4.386999999999999927e-02,3.738905349999999999e+02
1.658373500000000078e+01,4.378800000000000053e-02,3.738916389999999978e+02
1.658773499999999856e+01,4.370299999999999879e-02,3.738927400000000034e+02
1.659173499999999990e+01,4.362200000000000105e-02,3.738938400000000115e+02
1.659573400000000021e+01,4.355400000000000243e-02,3.738949370000000272e+02
1.659973400000000154e+01,4.348500000000000282e-02,3.738960319999999911e+02
1.660373399999999933e+01,4.341699999999999726e-02,3.738971260000000143e+02
1.660773400000000066e+01,4.331600000000000034e-02,3.738982179999999858e+02
1.661173399999999845e+01,4.322700000000000153e-02,3.738993080000000191e+02
1.661573399999999978e+01,4.316500000000000198e-02,3.739003960000000006e+02
1.661973400000000112e+01,4.309999999999999942e-02,3.739014809999999898e+02
1.662373399999999890e+01,4.303200000000000081e-02,3.739025649999999814e+02
1.662773400000000024e+01,4.299599999999999950e-02,3.739036479999999756e+02
1.663173400000000157e+01,4.293799999999999700e-02,3.739047289999999748e+02
1.663573399999999936e+01,4.285200000000000120e-02,3.739058089999999765e+02
1.663973400000000069e+01,4.278699999999999865e-02,3.739068869999999833e+02
1.664373399999999847e+01,4.273300000000000015e-02,3.739079629999999952e+02
1.664773399999999981e+01,4.268000000000000266e-02,3.739090380000000096e+02
1.665173400000000115e+01,4.261600000000000110e-02,3.739101109999999721e+02
1.665573399999999893e+01,4.254700000000000149e-02,3.739111829999999941e+02
1.665973299999999924e+01,4.246099999999999874e-02,3.739122530000000211e+02
1.666373300000000057e+01,4.240200000000000219e-02,3.739133209999999963e+02
1.666773299999999836e+01,4.236000000000000182e-02,3.739143869999999765e+02
