Frequency (THz), Spectral Heat Capacity (J/Kg/K/THz), Cumulative Heat Capacity (J/Kg/K)
2.759960000000000191e-01,4.086476000000000219e+00,2.883620000000000072e+00
2.799960000000000226e-01,4.167972999999999928e+00,2.985332999999999792e+00
2.839949999999999974e-01,4.236841000000000079e+00,3.089052999999999827e+00
2.879950000000000010e-01,4.287899999999999601e+00,3.194671000000000038e+00
2.919950000000000045e-01,4.342946999999999669e+00,3.301844000000000001e+00
2.959950000000000081e-01,4.394886999999999766e+00,3.410293999999999937e+00
2.999950000000000117e-01,4.439553000000000083e+00,3.520118000000000080e+00
3.039950000000000152e-01,4.474768000000000079e+00,3.631149999999999878e+00
3.079950000000000188e-01,4.502562000000000175e+00,3.743195000000000050e+00
3.119950000000000223e-01,4.525758999999999865e+00,3.856022999999999978e+00
3.159950000000000259e-01,4.557805000000000106e+00,3.969479999999999897e+00
3.199949999999999739e-01,4.575577000000000005e+00,4.083609000000000044e+00
3.239949999999999775e-01,4.588568999999999676e+00,4.198460999999999999e+00
3.279949999999999810e-01,4.606844999999999857e+00,4.313630999999999993e+00
3.319949999999999846e-01,4.623052999999999635e+00,4.429152000000000200e+00
3.359949999999999881e-01,4.637464999999999726e+00,4.545143000000000377e+00
3.399949999999999917e-01,4.646531999999999663e+00,4.661516999999999911e+00
3.439940000000000220e-01,4.652535999999999561e+00,4.778194000000000052e+00
3.479940000000000255e-01,4.681326999999999572e+00,4.895021999999999984e+00
3.519939999999999736e-01,4.702810999999999630e+00,5.012266999999999584e+00
3.559939999999999771e-01,4.742201999999999806e+00,5.130270000000000330e+00
3.599939999999999807e-01,4.787637000000000143e+00,5.248922000000000310e+00
3.639939999999999842e-01,4.815432000000000379e+00,5.368689999999999962e+00
3.679939999999999878e-01,4.859835999999999601e+00,5.489403000000000254e+00
3.719939999999999913e-01,4.889789000000000385e+00,5.610878999999999728e+00
3.759939999999999949e-01,4.903877999999999737e+00,5.733426999999999829e+00
3.799939999999999984e-01,4.935456000000000287e+00,5.856533999999999907e+00
3.839940000000000020e-01,4.974085999999999785e+00,5.980141999999999847e+00
3.879940000000000055e-01,5.030134999999999579e+00,6.104676000000000435e+00
3.919940000000000091e-01,5.100799999999999557e+00,6.230355999999999561e+00
3.959940000000000127e-01,5.178105000000000402e+00,6.357639999999999958e+00
3.999940000000000162e-01,5.268780999999999715e+00,6.486794999999999867e+00
4.039940000000000198e-01,5.338555999999999635e+00,6.618032000000000359e+00
4.079929999999999946e-01,5.420721999999999596e+00,6.751371999999999929e+00
4.119929999999999981e-01,5.540765999999999636e+00,6.886447000000000429e+00
4.159930000000000017e-01,5.683582000000000356e+00,7.024113999999999969e+00
4.199930000000000052e-01,5.831790999999999947e+00,7.165147000000000155e+00
4.239930000000000088e-01,5.951317999999999664e+00,7.309842999999999869e+00
4.279930000000000123e-01,6.073928999999999689e+00,7.458045000000000258e+00
4.319930000000000159e-01,6.218944999999999723e+00,7.609151999999999916e+00
4.359930000000000194e-01,6.369455000000000311e+00,7.763542000000000165e+00
4.399930000000000230e-01,6.492791999999999675e+00,7.921720999999999790e+00
4.439930000000000265e-01,6.613056000000000267e+00,8.083477999999999497e+00
4.479929999999999746e-01,6.731188999999999645e+00,8.248177000000000092e+00
4.519929999999999781e-01,6.838188999999999851e+00,8.415867999999999682e+00
4.559929999999999817e-01,6.938236999999999988e+00,8.586408999999999736e+00
4.599929999999999852e-01,7.039183999999999664e+00,8.759534999999999627e+00
4.639929999999999888e-01,7.142102999999999646e+00,8.935178999999999760e+00
4.679929999999999923e-01,7.252345000000000041e+00,9.113379000000000119e+00
4.719920000000000226e-01,7.348099000000000380e+00,9.294249999999999901e+00
4.759920000000000262e-01,7.423814000000000135e+00,9.477755000000000152e+00
4.799919999999999742e-01,7.512273999999999674e+00,9.663425999999999405e+00
4.839919999999999778e-01,7.591776000000000302e+00,9.851022999999999641e+00
4.879919999999999813e-01,7.661588000000000065e+00,1.004084499999999913e+01
4.919919999999999849e-01,7.733791000000000082e+00,1.023254599999999925e+01
4.959919999999999884e-01,7.803566000000000003e+00,1.042600499999999997e+01
4.999919999999999920e-01,7.892571000000000225e+00,1.062126899999999985e+01
5.039919999999999956e-01,7.972409999999999997e+00,1.081847199999999987e+01
5.079919999999999991e-01,8.026277000000000328e+00,1.101791599999999960e+01
5.119920000000000027e-01,8.095734999999999459e+00,1.121901599999999988e+01
5.159920000000000062e-01,8.173408000000000229e+00,1.142149099999999962e+01
5.199920000000000098e-01,8.259748000000000090e+00,1.162591800000000042e+01
5.239920000000000133e-01,8.348478999999999317e+00,1.183240400000000037e+01
5.279920000000000169e-01,8.407971999999999113e+00,1.204110400000000070e+01
5.319909999999999917e-01,8.475505999999999318e+00,1.225179900000000011e+01
5.359909999999999952e-01,8.545980000000000132e+00,1.246389300000000055e+01
5.399909999999999988e-01,8.628755999999999204e+00,1.267779600000000073e+01
5.439910000000000023e-01,8.701337999999999795e+00,1.289359499999999947e+01
5.479910000000000059e-01,8.777461999999999875e+00,1.311143999999999998e+01
5.519910000000000094e-01,8.865572000000000230e+00,1.333107700000000051e+01
5.559910000000000130e-01,8.946647000000000460e+00,1.355274299999999954e+01
5.599910000000000165e-01,9.043741999999999948e+00,1.377659300000000009e+01
5.639910000000000201e-01,9.160664999999999836e+00,1.400258499999999984e+01
5.679910000000000236e-01,9.275888000000000133e+00,1.423130699999999926e+01
5.719910000000000272e-01,9.401747999999999550e+00,1.446303600000000067e+01
5.759910000000000307e-01,9.522959000000000174e+00,1.469772399999999912e+01
5.799910000000000343e-01,9.625811000000000561e+00,1.493558100000000088e+01
5.839910000000000379e-01,9.734667999999999211e+00,1.517624900000000032e+01
5.879910000000000414e-01,9.862280000000000157e+00,1.541947700000000054e+01
5.919910000000000450e-01,9.996575999999999240e+00,1.566569999999999929e+01
5.959900000000000198e-01,1.014046599999999998e+01,1.591526499999999977e+01
5.999900000000000233e-01,1.026852799999999988e+01,1.616823099999999869e+01
6.039900000000000269e-01,1.040872599999999970e+01,1.642478499999999997e+01
6.079900000000000304e-01,1.052515799999999935e+01,1.668459700000000012e+01
6.119900000000000340e-01,1.063940500000000000e+01,1.694778499999999966e+01
6.159900000000000375e-01,1.077195700000000045e+01,1.721375199999999950e+01
6.199900000000000411e-01,1.090789200000000037e+01,1.748273299999999963e+01
6.239900000000000446e-01,1.106648200000000060e+01,1.775516299999999958e+01
6.279900000000000482e-01,1.121891500000000086e+01,1.803121399999999852e+01
6.319900000000000517e-01,1.134236899999999970e+01,1.831127299999999991e+01
6.359900000000000553e-01,1.145408800000000049e+01,1.859489500000000106e+01
6.399899999999999478e-01,1.155908799999999914e+01,1.888138800000000117e+01
6.439899999999999514e-01,1.165864900000000048e+01,1.917058400000000162e+01
6.479899999999999549e-01,1.177865700000000082e+01,1.946235799999999827e+01
6.519899999999999585e-01,1.190089099999999966e+01,1.975678299999999865e+01
