# T(K) Cv(J/cc.K) Cv(J/kg.K)
14.994999 0.162978 0.001453
15.022146 0.163439 0.001461
15.049293 0.163900 0.001469
15.076439 0.164361 0.001476
15.103586 0.164822 0.001484
15.130733 0.165284 0.001492
15.157880 0.165745 0.001501
15.185026 0.166206 0.001509
15.212173 0.166667 0.001517
15.239320 0.167129 0.001525
15.266467 0.167590 0.001533
15.293613 0.168051 0.001541
15.320760 0.168512 0.001549
15.347907 0.168974 0.001558
15.375054 0.169435 0.001566
15.402200 0.169896 0.001574
15.429347 0.170358 0.001583
15.456494 0.170819 0.001591
15.483641 0.171280 0.001599
15.510787 0.171742 0.001608
15.537934 0.172203 0.001616
15.565081 0.172664 0.001625
15.592227 0.173125 0.001633
15.619374 0.173587 0.001642
15.646521 0.174048 0.001650
15.673668 0.174509 0.001659
15.700814 0.174971 0.001668
15.727961 0.175432 0.001676
15.755108 0.175893 0.001685
15.782255 0.176354 0.001694
15.809401 0.176815 0.001702
15.836548 0.177277 0.001711
15.863695 0.177738 0.001720
15.890842 0.178199 0.001729
15.917988 0.178660 0.001738
15.945135 0.179121 0.001747
15.972282 0.179582 0.001756
15.999428 0.180043 0.001765
16.026575 0.180504 0.001774
16.053722 0.180965 0.001783
16.080869 0.181426 0.001792
16.108015 0.181887 0.001801
16.135162 0.182347 0.001810
16.162309 0.182808 0.001819
16.189456 0.183269 0.001828
16.216602 0.183730 0.001837
16.243749 0.184190 0.001847
16.270896 0.184651 0.001856
16.298043 0.185112 0.001865
16.325189 0.185572 0.001875
16.352336 0.186033 0.001884
16.379483 0.186493 0.001893
16.406630 0.186953 0.001903
16.433776 0.187414 0.001912
16.460923 0.187874 0.001922
16.488070 0.188334 0.001931
16.515216 0.188794 0.001941
16.542363 0.189254 0.001950
16.569510 0.189714 0.001960
16.596657 0.190174 0.001970
16.623803 0.190634 0.001979
16.650950 0.191094 0.001989
16.678097 0.191554 0.001999
16.705244 0.192013 0.002009
16.732390 0.192473 0.002018
16.759537 0.192933 0.002028
16.786684 0.193392 0.002038
16.813831 0.193851 0.002048
16.840977 0.194311 0.002058
16.868124 0.194770 0.002068
16.895271 0.195229 0.002078
16.922417 0.195688 0.002088
16.949564 0.196147 0.002098
16.976711 0.196606 0.002108
17.003858 0.197065 0.002118
17.031004 0.197524 0.002128
17.058151 0.197982 0.002139
17.085298 0.198441 0.002149
17.112445 0.198899 0.002159
17.139591 0.199358 0.002169
17.166738 0.199816 0.002180
17.193885 0.200274 0.002190
17.221032 0.200732 0.002200
17.248178 0.201190 0.002211
17.275325 0.201648 0.002221
17.302472 0.202106 0.002232
17.329619 0.202564 0.002242
17.356765 0.203022 0.002253
17.383912 0.203479 0.002263
17.411059 0.203937 0.002274
17.438205 0.204394 0.002285
17.465352 0.204851 0.002295
17.492499 0.205308 0.002306
17.519646 0.205765 0.002317
17.546792 0.206222 0.002328
17.573939 0.206679 0.002339
17.601086 0.207136 0.002349
17.628233 0.207592 0.002360
17.655379 0.208049 0.002371
17.682526 0.208505 0.002382
17.709673 0.208961 0.002393
17.736820 0.209417 0.002404
17.763966 0.209873 0.002415
17.791113 0.210329 0.002426
17.818260 0.210785 0.002437
17.845406 0.211240 0.002449
17.872553 0.211696 0.002460
17.899700 0.212151 0.002471
17.926847 0.212606 0.002482
17.953993 0.213062 0.002494
17.981140 0.213517 0.002505
18.008287 0.213971 0.002516
18.035434 0.214426 0.002528
18.062580 0.214881 0.002539
18.089727 0.215335 0.002551
18.116874 0.215790 0.002562
18.144021 0.216244 0.002574
18.171167 0.216698 0.002585
18.198314 0.217152 0.002597
18.225461 0.217606 0.002608
18.252608 0.218059 0.002620
18.279754 0.218513 0.002632
18.306901 0.218966 0.002643
18.334048 0.219419 0.002655
18.361194 0.219872 0.002667
18.388341 0.220325 0.002679
18.415488 0.220778 0.002691
18.442635 0.221231 0.002703
18.469781 0.221683 0.002715
18.496928 0.222136 0.002727
18.524075 0.222588 0.002739
18.551222 0.223040 0.002751
18.578368 0.223492 0.002763
18.605515 0.223944 0.002775
18.632662 0.224395 0.002787
18.659809 0.224847 0.002799
18.686955 0.225298 0.002812
18.714102 0.225749 0.002824
18.741249 0.226200 0.002836
18.768395 0.226651 0.002848
18.795542 0.227102 0.002861
18.822689 0.227552 0.002873
18.849836 0.228002 0.002886
18.876982 0.228453 0.002898
18.904129 0.228903 0.002911
18.931276 0.229352 0.002923
18.958423 0.229802 0.002936
18.985569 0.230252 0.002949
19.012716 0.230701 0.002961
19.039863 0.231150 0.002974
19.067010 0.231599 0.002987
19.094156 0.232048 0.002999
19.121303 0.232497 0.003012
19.148450 0.232945 0.003025
19.175597 0.233394 0.003038
